x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
0.069,1.877,0.76,56.768,-47.134,30.427
0.094,1.932,0.791,73.049,-47.866,39.756
0.131,1.967,0.796,89.512,-42.988,48.476
0.17,1.974,0.786,105.305,-34.39,56.646
0.165,1.948,0.755,117.927,-26.646,63.902
0.136,1.916,0.71,126.707,-21.646,70.61
0.158,1.9,0.655,134.329,-16.951,77.683
0.221,1.896,0.602,142.378,-11.098,84.634
0.231,1.897,0.554,147.134,-10.976,90.793
0.186,1.886,0.503,147.378,-19.329,94.268
0.206,1.833,0.496,146.037,-33.171,92.866
0.247,1.728,0.485,143.963,-55.122,89.39
0.234,1.605,0.467,138.415,-83.354,84.512
0.261,1.495,0.428,132.317,-105.427,77.012
0.258,1.401,0.333,128.476,-123.537,65.793
0.203,1.314,0.24,123.049,-131.768,55.366
0.238,1.239,0.172,118.537,-121.037,42.988
0.259,1.159,0.132,116.768,-98.537,26.707
0.226,1.056,0.134,113.354,-72.439,10.976
0.144,0.969,0.125,107.5,-55.732,-2.927
0.036,0.899,0.118,95.427,-53.049,-19.268
0.003,0.779,0.114,83.537,-53.598,-32.256
0.009,0.696,0.046,76.402,-58.049,-39.756
-0.036,0.667,-0.007,67.805,-66.829,-46.646
-0.108,0.585,-0.016,58.537,-75.793,-51.585
-0.167,0.502,-0.043,50.427,-85.427,-56.402
-0.25,0.443,-0.062,41.951,-94.756,-61.768
-0.273,0.419,-0.046,33.049,-98.598,-64.146
-0.227,0.404,-0.039,25.244,-96.829,-67.439
-0.231,0.333,-0.036,17.317,-91.768,-71.341
-0.256,0.24,-0.058,13.659,-87.744,-71.22
-0.297,0.235,-0.119,9.817,-90.976,-70.427
-0.314,0.288,-0.124,1.768,-99.512,-71.951
-0.302,0.239,-0.089,-6.098,-107.744,-75.183
-0.321,0.125,-0.083,-8.902,-111.829,-74.634
-0.32,0.143,-0.122,-9.817,-113.841,-72.622
-0.285,0.223,-0.123,-13.293,-112.5,-70.915
-0.257,0.183,-0.154,-11.098,-105.061,-67.927
-0.275,0.228,-0.231,-6.524,-95.671,-64.634
-0.333,0.338,-0.268,-6.951,-90.488,-62.012
-0.359,0.355,-0.307,-8.476,-87.683,-58.78
-0.305,0.362,-0.349,-6.646,-84.329,-55.488
-0.306,0.376,-0.327,-3.902,-81.098,-51.402
-0.321,0.373,-0.298,-1.524,-75.488,-47.073
-0.292,0.371,-0.298,3.598,-64.207,-43.598
-0.26,0.404,-0.33,9.878,-47.561,-40.183
-0.255,0.467,-0.386,15.549,-29.146,-37.012
-0.243,0.533,-0.43,20.244,-10.61,-35.793
-0.226,0.584,-0.446,23.841,7.622,-36.524
-0.254,0.582,-0.441,26.524,19.085,-34.146
-0.298,0.578,-0.461,28.049,21.768,-30.122
-0.29,0.624,-0.481,27.073,17.988,-27.5
-0.28,0.658,-0.479,24.268,10.0,-25.061
-0.285,0.652,-0.48,20.61,1.585,-20.427
-0.259,0.668,-0.51,17.256,-2.561,-14.146
-0.24,0.707,-0.551,14.634,-4.939,-8.049
-0.259,0.736,-0.573,11.402,-6.646,-3.354
-0.284,0.731,-0.579,8.354,-7.012,-0.366
-0.296,0.721,-0.577,5.61,-6.159,2.073
-0.271,0.71,-0.572,4.024,-2.927,4.451
-0.254,0.699,-0.568,4.451,2.805,7.012
-0.268,0.728,-0.568,4.573,8.659,9.512
-0.282,0.776,-0.559,3.537,12.744,11.89
-0.289,0.788,-0.531,2.256,15.061,14.756
-0.289,0.785,-0.511,0.671,15.0,17.378
-0.286,0.786,-0.485,-0.793,11.524,20.244
-0.292,0.774,-0.467,-2.134,7.012,23.171
-0.29,0.785,-0.466,-3.232,3.841,26.22
-0.272,0.811,-0.465,-4.207,0.61,29.451
-0.27,0.82,-0.463,-5.976,-2.195,32.256
-0.259,0.816,-0.459,-7.561,-4.268,35.0
-0.237,0.824,-0.441,-9.024,-7.195,37.561
-0.227,0.83,-0.421,-10.671,-10.183,40.305
-0.203,0.825,-0.398,-11.22,-12.805,41.951
-0.193,0.832,-0.39,-11.463,-14.451,42.195
-0.184,0.836,-0.376,-11.28,-12.744,41.707
-0.147,0.82,-0.36,-9.512,-6.037,39.451
-0.127,0.789,-0.353,-6.951,4.024,36.646
-0.112,0.752,-0.357,-4.268,17.439,34.085
-0.096,0.728,-0.375,-0.183,31.646,31.89
-0.112,0.778,-0.4,2.073,41.829,29.695
-0.132,0.811,-0.366,2.744,46.707,27.195
-0.165,0.749,-0.32,3.78,48.293,27.378
-0.158,0.74,-0.315,4.695,49.085,28.659
-0.132,0.742,-0.3,6.22,48.963,29.939
-0.184,0.71,-0.303,7.378,45.122,32.439
-0.228,0.738,-0.303,6.159,38.78,33.354
-0.195,0.699,-0.255,6.402,36.22,32.012
-0.174,0.587,-0.224,9.817,38.171,31.951
-0.17,0.54,-0.221,13.415,42.866,32.866
-0.153,0.521,-0.224,16.037,51.22,32.744
-0.146,0.53,-0.282,21.646,60.0,33.963
-0.142,0.655,-0.331,22.622,63.841,32.561
-0.125,0.683,-0.335,19.817,67.378,29.878
-0.098,0.61,-0.363,19.878,69.024,29.573
-0.136,0.61,-0.379,17.683,66.28,31.707
-0.154,0.644,-0.361,12.378,62.134,31.341
-0.134,0.637,-0.344,8.293,58.78,29.329
-0.107,0.631,-0.324,2.134,55.732,26.951
-0.067,0.608,-0.339,-1.951,54.024,27.744
-0.061,0.679,-0.395,-5.732,48.537,30.671
-0.102,0.757,-0.358,-15.427,39.39,31.22
-0.114,0.646,-0.282,-23.72,32.439,31.89
-0.115,0.477,-0.222,-26.159,31.463,33.963
-0.083,0.411,-0.194,-25.854,35.0,33.659
-0.044,0.478,-0.238,-22.683,42.073,33.232
-0.023,0.729,-0.331,-19.451,42.317,35.183
-0.02,1.007,-0.311,-26.707,34.268,29.817
0.007,0.94,-0.186,-33.902,25.793,21.463
0.013,0.711,-0.083,-37.988,18.841,16.646
-0.004,0.578,-0.026,-43.841,13.171,13.415
0.029,0.519,-0.04,-47.5,9.878,9.512
0.08,0.5,-0.099,-44.146,15.305,7.622
0.122,0.655,-0.189,-36.768,26.768,7.988
0.073,0.987,-0.239,-36.341,36.28,6.159
