x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
-0.505,-0.842,0.354,7.439,-15.671,-3.902
-0.505,-0.857,0.387,9.451,-18.78,-4.573
-0.486,-0.881,0.425,12.195,-21.159,-5.183
-0.477,-0.902,0.455,16.037,-22.744,-6.22
-0.473,-0.918,0.487,20.732,-23.902,-7.378
-0.454,-0.929,0.511,24.451,-23.171,-8.598
-0.435,-0.923,0.545,28.049,-22.317,-10.732
-0.408,-0.911,0.568,31.524,-21.707,-12.805
-0.415,-0.913,0.598,36.159,-22.683,-15.0
-0.42,-0.926,0.615,40.976,-23.11,-16.829
-0.413,-0.937,0.635,45.366,-23.354,-19.329
-0.402,-0.945,0.652,49.268,-23.902,-21.524
-0.408,-0.956,0.677,53.841,-25.488,-23.537
-0.413,-0.981,0.696,58.963,-28.293,-25.488
-0.413,-1.001,0.704,63.841,-31.768,-27.012
-0.419,-1.007,0.722,68.415,-35.122,-28.11
-0.422,-1.013,0.74,72.561,-38.72,-29.573
-0.414,-1.015,0.756,75.976,-42.195,-31.402
-0.415,-1.016,0.782,79.39,-45.732,-33.659
-0.411,-1.036,0.805,83.659,-49.695,-35.976
-0.405,-1.066,0.807,88.415,-53.415,-38.293
-0.401,-1.086,0.81,92.805,-55.915,-40.244
-0.394,-1.094,0.818,96.768,-57.378,-42.134
-0.379,-1.103,0.833,100.915,-58.232,-43.598
-0.372,-1.115,0.852,105.0,-60.366,-45.244
-0.37,-1.128,0.866,107.927,-64.146,-46.707
-0.377,-1.14,0.896,111.951,-69.329,-49.329
-0.393,-1.163,0.902,117.439,-74.451,-51.89
-0.382,-1.173,0.88,121.585,-80.305,-53.902
-0.372,-1.151,0.861,122.988,-88.354,-55.793
-0.373,-1.116,0.875,123.841,-96.159,-57.5
-0.383,-1.117,0.921,126.28,-101.646,-60.793
-0.382,-1.152,0.957,131.646,-102.744,-64.817
-0.355,-1.184,0.957,137.866,-99.085,-67.134
-0.314,-1.189,0.94,141.89,-91.646,-68.537
-0.278,-1.17,0.952,145.549,-81.098,-69.878
-0.256,-1.152,0.96,149.939,-69.634,-71.159
-0.253,-1.144,0.934,153.902,-59.817,-71.707
-0.264,-1.144,0.906,157.195,-54.39,-71.524
-0.289,-1.135,0.888,159.268,-55.427,-72.317
-0.329,-1.1,0.869,160.366,-62.256,-73.293
-0.381,-1.052,0.843,159.451,-70.427,-74.146
-0.395,-1.007,0.84,157.683,-77.622,-74.939
-0.392,-0.992,0.815,157.744,-81.037,-76.402
-0.387,-0.996,0.798,159.756,-80.0,-76.402
-0.355,-0.977,0.765,158.537,-75.122,-74.878
-0.32,-0.914,0.757,155.488,-67.744,-73.963
-0.311,-0.859,0.759,153.72,-60.549,-73.415
-0.317,-0.845,0.751,155.0,-54.939,-71.951
